,States Missed,You got 5/50
0,alaska,
1,arizona,
2,arkansas,
3,california,
4,colorado,
5,connecticut,
6,delaware,
7,florida,
8,georgia,
9,hawaii,
10,idaho,
11,illinois,
12,indiana,
13,iowa,
14,kansas,
15,kentucky,
16,louisiana,
17,maine,
18,maryland,
19,massachusetts,
20,michigan,
21,minnesota,
22,mississippi,
23,missouri,
24,montana,
25,nebraska,
26,nevada,
27,new hampshire,
28,new jersey,
29,north carolina,
30,north dakota,
31,ohio,
32,oklahoma,
33,oregon,
34,rhode island,
35,south carolina,
36,south dakota,
37,tennessee,
38,texas,
39,utah,
40,vermont,
41,virginia,
42,west virginia,
43,wisconsin,
44,wyoming,
