,States Missed,You got 7/50
0,alaska,ss
1,arizona,ss
2,arkansas,ss
3,california,ss
4,colorado,ss
5,connecticut,ss
6,delaware,ss
7,florida,ss
8,georgia,ss
9,hawaii,ss
10,idaho,ss
11,illinois,ss
12,indiana,ss
13,iowa,ss
14,kansas,ss
15,louisiana,ss
16,maine,ss
17,maryland,ss
18,massachusetts,ss
19,michigan,ss
20,minnesota,ss
21,mississippi,ss
22,missouri,ss
23,montana,ss
24,nebraska,ss
25,nevada,ss
26,new hampshire,ss
27,new jersey,ss
28,north carolina,ss
29,north dakota,ss
30,oklahoma,ss
31,oregon,ss
32,rhode island,ss
33,south carolina,ss
34,south dakota,ss
35,tennessee,ss
36,texas,ss
37,utah,ss
38,vermont,ss
39,virginia,ss
40,west virginia,ss
41,wisconsin,ss
42,wyoming,ss
