,States Missed
0,alaska
1,arizona
2,arkansas
3,california
4,colorado
5,connecticut
6,delaware
7,florida
8,georgia
9,hawaii
10,idaho
11,illinois
12,indiana
13,iowa
14,kansas
15,louisiana
16,maine
17,maryland
18,massachusetts
19,michigan
20,minnesota
21,mississippi
22,missouri
23,montana
24,nebraska
25,nevada
26,new hampshire
27,new jersey
28,north carolina
29,north dakota
30,oklahoma
31,oregon
32,rhode island
33,south carolina
34,south dakota
35,tennessee
36,texas
37,utah
38,vermont
39,virginia
40,west virginia
41,wisconsin
42,wyoming
